,,F1_score,F1_score,Precision,Precision,Recall,Recall,Accuracy,Accuracy
Esophagus,Random_Forest,0.3888,0.337,0.5786,0.3326,0.3412,0.3469,0.8967,0.1092
Esophagus,SVM,0.4246,0.3152,0.3756,0.3598,0.7423,0.1227,0.823,0.0459
Esophagus,Weighted_Ensemble,0.5563,0.202,0.6112,0.1661,0.5169,0.2258,0.8971,0.1071
Esophagus,XGBoost,0.5436,0.1928,0.5959,0.1604,0.5056,0.2153,0.8875,0.1208
HeadNeck,Decision_Tree,0.4159,0.2679,0.4193,0.2556,0.4169,0.2821,0.8306,0.1319
HeadNeck,Gradient_Boosting,0.5037,0.2306,0.6457,0.2588,0.4385,0.2354,0.8734,0.1005
HeadNeck,LightGBM,0.4578,0.3026,0.4898,0.2835,0.4512,0.3253,0.8608,0.111
HeadNeck,Logistic_Regression,0.4722,0.2767,0.4085,0.2868,0.7564,0.0363,0.8018,0.0533
HeadNeck,Random_Forest,0.4137,0.3131,0.6372,0.3762,0.3574,0.2904,0.8701,0.1026
HeadNeck,SVM,0.4717,0.2732,0.4203,0.2915,0.6512,0.1197,0.8281,0.0746
HeadNeck,Weighted_Ensemble,0.4828,0.2611,0.5296,0.2639,0.5533,0.2169,0.8567,0.0875
HeadNeck,XGBoost,0.4419,0.3053,0.4823,0.286,0.4276,0.3202,0.8587,0.1118
Kidney,Decision_Tree,0.3363,0.3121,0.3252,0.3104,0.3538,0.3131,0.8676,0.1089
Kidney,Gradient_Boosting,0.4338,0.3733,0.5599,0.3777,0.3947,0.4015,0.8908,0.0737
Kidney,LightGBM,0.3926,0.3672,0.412,0.3561,0.3803,0.3754,0.906,0.0838
Kidney,Logistic_Regression,0.465,0.2601,0.3963,0.3242,0.7738,0.1024,0.7541,0.068
Kidney,Random_Forest,0.3161,0.3682,0.4731,0.4332,0.2825,0.3914,0.9126,0.0814
Kidney,SVM,0.5168,0.2481,0.4563,0.3047,0.6991,0.0724,0.8259,0.0585
Kidney,Weighted_Ensemble,0.5081,0.2837,0.5337,0.286,0.498,0.2885,0.8784,0.0675
Kidney,XGBoost,0.4816,0.3033,0.5314,0.2739,0.4487,0.3259,0.8803,0.0748
Liver,Decision_Tree,0.3868,0.2692,0.3888,0.2666,0.3855,0.2723,0.8208,0.1224
Liver,Gradient_Boosting,0.5181,0.2471,0.6286,0.2024,0.4535,0.2424,0.8329,0.0595
Liver,LightGBM,0.4463,0.3245,0.4616,0.3222,0.4341,0.3253,0.862,0.0929
Liver,Logistic_Regression,0.5679,0.1439,0.4915,0.1765,0.7181,0.0275,0.7659,0.0279
Liver,Random_Forest,0.4132,0.3236,0.5685,0.3298,0.3552,0.2967,0.8709,0.0921
Liver,SVM,0.5933,0.1611,0.5155,0.1868,0.7265,0.091,0.789,0.0356
Liver,Weighted_Ensemble,0.5702,0.2058,0.593,0.2231,0.5498,0.1907,0.8276,0.0527
Liver,XGBoost,0.573,0.198,0.5971,0.1916,0.5525,0.2043,0.8285,0.057
Lung,Decision_Tree,0.3524,0.2866,0.3545,0.2886,0.3503,0.2845,0.8271,0.1353
Lung,Gradient_Boosting,0.4639,0.2794,0.5929,0.2101,0.4138,0.3077,0.8362,0.0864
Lung,LightGBM,0.4227,0.3172,0.4284,0.2962,0.4316,0.3401,0.8586,0.1113
Lung,Logistic_Regression,0.516,0.2293,0.4381,0.2673,0.7676,0.0783,0.7362,0.0496
Lung,Random_Forest,0.357,0.3338,0.5391,0.3182,0.3143,0.3374,0.8746,0.1006
Lung,SVM,0.5248,0.237,0.4447,0.264,0.7309,0.1058,0.7568,0.0556
Lung,Weighted_Ensemble,0.5324,0.2459,0.5337,0.2309,0.5336,0.2604,0.83,0.0807
Lung,XGBoost,0.4978,0.2539,0.5256,0.219,0.4794,0.2791,0.8248,0.0871
Ovarian,Decision_Tree,0.4493,0.285,0.4515,0.2833,0.4474,0.2874,0.8611,0.1243
Ovarian,Gradient_Boosting,0.5922,0.2391,0.7074,0.1494,0.5294,0.272,0.8782,0.0658
Ovarian,LightGBM,0.4952,0.3207,0.5142,0.3284,0.4798,0.3153,0.896,0.0846
Ovarian,Logistic_Regression,0.5419,0.2326,0.4735,0.2975,0.7702,0.0674,0.7765,0.0234
Ovarian,Random_Forest,0.4692,0.3232,0.5794,0.3472,0.4074,0.3103,0.9025,0.0803
Ovarian,SVM,0.5726,0.2411,0.5115,0.3249,0.7928,0.0705,0.803,0.0168
Ovarian,Weighted_Ensemble,0.6365,0.1738,0.6567,0.1952,0.6204,0.1575,0.875,0.0598
Ovarian,XGBoost,0.6352,0.1763,0.6458,0.2011,0.6296,0.1578,0.8731,0.0618
Pancreatic,Decision_Tree,0.3351,0.254,0.3394,0.2569,0.3317,0.2518,0.8131,0.133
Pancreatic,Gradient_Boosting,0.4233,0.2987,0.6035,0.1976,0.3667,0.3055,0.8305,0.0827
Pancreatic,LightGBM,0.4479,0.2759,0.4693,0.2793,0.4321,0.2764,0.8571,0.1092
Pancreatic,Logistic_Regression,0.5174,0.1949,0.4332,0.245,0.7525,0.0521,0.7135,0.0514
Pancreatic,Random_Forest,0.3367,0.3056,0.5381,0.3199,0.2817,0.3038,0.866,0.104
Pancreatic,SVM,0.5539,0.171,0.4583,0.2215,0.7756,0.0505,0.753,0.0199
Pancreatic,Weighted_Ensemble,0.5632,0.1448,0.5944,0.1308,0.5366,0.1579,0.829,0.0759
Pancreatic,XGBoost,0.5409,0.1729,0.5826,0.1369,0.5097,0.1985,0.8264,0.0784
Prostate,Decision_Tree,0.3251,0.3342,0.332,0.345,0.3191,0.3245,0.8581,0.1342
Prostate,Gradient_Boosting,0.4401,0.3792,0.4864,0.368,0.4157,0.3857,0.8709,0.0915
Prostate,LightGBM,0.3725,0.3853,0.3737,0.3803,0.3732,0.3924,0.8935,0.0978
Prostate,Logistic_Regression,0.5018,0.3048,0.4448,0.3462,0.8335,0.1112,0.789,0.0432
Prostate,Random_Forest,0.3389,0.3909,0.395,0.3919,0.3169,0.3887,0.8995,0.0945
Prostate,SVM,0.4862,0.3315,0.4383,0.3573,0.6283,0.2856,0.8134,0.0804
Prostate,Weighted_Ensemble,0.5366,0.2681,0.5933,0.2041,0.514,0.3066,0.868,0.0902
Prostate,XGBoost,0.5337,0.2646,0.5998,0.1902,0.5053,0.3069,0.8669,0.0923
Skin,Decision_Tree,0.4216,0.2894,0.4201,0.2825,0.4236,0.2967,0.8497,0.1133
Skin,Gradient_Boosting,0.5471,0.2327,0.7044,0.1082,0.4852,0.2843,0.8578,0.0697
Skin,LightGBM,0.4889,0.3258,0.4986,0.3111,0.487,0.3456,0.8873,0.0823
Skin,Logistic_Regression,0.503,0.276,0.4287,0.2922,0.7132,0.103,0.7277,0.0471
Skin,Random_Forest,0.4228,0.3323,0.6458,0.3665,0.362,0.3395,0.8924,0.0824
Skin,SVM,0.5725,0.258,0.496,0.2927,0.758,0.0999,0.8003,0.0405
Skin,Weighted_Ensemble,0.6091,0.204,0.6766,0.1122,0.5733,0.2623,0.8668,0.0611
Skin,XGBoost,0.5935,0.1933,0.6715,0.1021,0.5581,0.255,0.8554,0.0717
Stomach,Decision_Tree,0.3581,0.3102,0.3545,0.3065,0.3622,0.3151,0.8313,0.1337
Stomach,Gradient_Boosting,0.4993,0.2941,0.5882,0.2617,0.4518,0.304,0.844,0.0838
Stomach,LightGBM,0.4226,0.3522,0.4453,0.3278,0.4157,0.362,0.874,0.1018
Stomach,Logistic_Regression,0.5295,0.2814,0.4813,0.2875,0.7322,0.083,0.7601,0.0347
Stomach,Random_Forest,0.3735,0.3558,0.4515,0.4124,0.3312,0.3339,0.8771,0.1015
Stomach,SVM,0.5442,0.2894,0.4885,0.2898,0.7126,0.1062,0.7837,0.0039
Stomach,Weighted_Ensemble,0.5371,0.2878,0.5637,0.2897,0.5171,0.2938,0.8467,0.0746
Stomach,XGBoost,0.5081,0.285,0.584,0.1802,0.4823,0.2993,0.8348,0.0927
Testis,Decision_Tree,0.412,0.2389,0.4182,0.2443,0.4065,0.2347,0.804,0.1368
Testis,Gradient_Boosting,0.6273,0.0678,0.7322,0.0679,0.5532,0.0879,0.8383,0.0525
Testis,LightGBM,0.5181,0.2959,0.5185,0.296,0.5194,0.2996,0.8604,0.0942
Testis,Logistic_Regression,0.6099,0.0638,0.528,0.0963,0.7388,0.0759,0.772,0.0555
Testis,Random_Forest,0.4744,0.2699,0.6056,0.3417,0.3921,0.2275,0.8667,0.0877
Testis,SVM,0.6318,0.0748,0.5691,0.1122,0.7289,0.1054,0.7948,0.0599
Testis,Weighted_Ensemble,0.6564,0.0719,0.6939,0.0872,0.6268,0.0857,0.8367,0.0612
Testis,XGBoost,0.6203,0.0821,0.6448,0.0836,0.5994,0.0898,0.8184,0.0659
Thyroid,Decision_Tree,0.3585,0.2031,0.3592,0.2028,0.3582,0.204,0.7814,0.1471
Thyroid,Gradient_Boosting,0.383,0.2157,0.5061,0.2841,0.3107,0.179,0.8323,0.1134
Thyroid,LightGBM,0.4333,0.2429,0.4278,0.2406,0.4405,0.2481,0.815,0.1248
Thyroid,Logistic_Regression,0.4256,0.2462,0.3482,0.2126,0.5685,0.3279,0.7632,0.1391
Thyroid,Random_Forest,0.3678,0.2061,0.5426,0.3063,0.2794,0.1575,0.8378,0.1077
Thyroid,SVM,0.4347,0.2465,0.3694,0.2166,0.5419,0.3096,0.7834,0.1288
Thyroid,Weighted_Ensemble,0.4379,0.2453,0.4656,0.2625,0.4153,0.2342,0.8301,0.1138
Thyroid,XGBoost,0.4171,0.2338,0.4431,0.2482,0.3961,0.225,0.8192,0.1227
Uterus,Decision_Tree,0.3491,0.2835,0.3573,0.2895,0.3424,0.2791,0.8227,0.1512
Uterus,Gradient_Boosting,0.3935,0.3797,0.4245,0.3944,0.3756,0.3788,0.8703,0.1193
Uterus,LightGBM,0.449,0.3393,0.4775,0.3142,0.438,0.3587,0.8718,0.1192
Uterus,Logistic_Regression,0.4538,0.3456,0.3895,0.3205,0.6532,0.3739,0.822,0.1103
Uterus,Random_Forest,0.4243,0.3188,0.6206,0.3804,0.3739,0.3275,0.8696,0.1258
Uterus,SVM,0.4501,0.3348,0.3839,0.3051,0.5921,0.3592,0.8352,0.1186
Uterus,Weighted_Ensemble,0.4515,0.3426,0.4807,0.3163,0.4407,0.3642,0.874,0.1175
Uterus,XGBoost,0.4432,0.3444,0.4687,0.3358,0.4264,0.352,0.8725,0.12
